for N=3 oscillators in a 1D ring topology																
coupling strength K  [Hz]	filter_cutoff f_c  [Hz]	delay [s]	Omega [Hz]	m-twist-state	Tsim ~= - 25 / Re(lambda)	paramSet id	Re(\lambda)	Zeitproxy 1. simulation [sek]	topology	diff. const. c	# oscis	coupling function	Nx 	Ny	mx	my
K	Fc	delay	Fomeg	m	Tsim	id	ReLambda	SimSeconds	topology	c	N	couplingfct	Nx	Ny	mx	my
0.25	1	0.21	1.0330578512	1	10	80	-2.5821680252	0.4840893342	ring	0	3	triang	3	1	1	-999
0.25	1	0.22	1.0245901639	1	10	81	-2.5462351946	0.4909208712	ring	0	3	triang	3	1	1	-999
0.25	1	0.23	1.0162601626	1	10	82	-2.509928244	0.4980222056	ring	0	3	triang	3	1	1	-999
0.25	1	0.24	1.0080645161	1	10	83	-2.4733291983	0.5053916805	ring	0	3	triang	3	1	1	-999
0.25	1	0.25	1	1	10	84	-2.4365190954	0.5130269664	ring	0	3	triang	3	1	1	-999
0.25	1	0.26	0.9920634921	1	10	85	-2.3995771134	0.5209251218	ring	0	3	triang	3	1	1	-999
0.25	1	0.27	0.9842519685	1	11	86	-2.362579795	0.529082659	ring	0	3	triang	3	1	1	-999
0.25	1	0.28	0.9765625	1	11	87	-2.3256003821	0.5374956117	ring	0	3	triang	3	1	1	-999
0.25	1	0.29	0.9689922481	1	11	88	-2.2887082667	0.5461596037	ring	0	3	triang	3	1	1	-999
0.25	1	0.3	0.9615384615	1	11	89	-2.2519685604	0.5550699162	ring	0	3	triang	3	1	1	-999
0.25	1	0.31	0.9541984733	1	11	90	-2.2154417791	0.5642215525	ring	0	3	triang	3	1	1	-999
0.25	1	0.32	0.946969697	1	11	91	-2.1791836369	0.5736092998	ring	0	3	triang	3	1	1	-999
0.25	1	0.33	0.9398496241	1	12	92	-2.1432449393	0.5832277856	ring	0	3	triang	3	1	1	-999
0.25	1	0.34	0.9328358209	1	12	93	-2.1076715648	0.5930715302	ring	0	3	triang	3	1	1	-999
0.25	1	0.35	0.9259259259	1	12	94	-2.072504523	0.6031349925	ring	0	3	triang	3	1	1	-999
0.25	1	0.36	0.9191176471	1	12	95	-2.0377800766	0.6134126122	ring	0	3	triang	3	1	1	-999
0.25	0.5	0.41	1.2411347518	0	23	96	-1.1033951762	1.1328670154	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.42	1.2323943662	0	23	97	-1.0910646747	1.1456699397	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.43	1.2237762238	0	23	98	-1.0788248426	1.1586681644	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.44	1.2152777778	0	23	99	-1.066681792	1.1718583831	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.45	1.2068965517	0	24	100	-1.0546411795	1.1852372392	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.46	1.198630137	0	24	101	-1.0427082132	1.1988013369	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.47	1.1904761905	0	24	102	-1.0308876621	1.2125472503	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.48	1.1824324324	0	25	103	-1.0191838669	1.2264715334	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.49	1.1744966443	0	25	104	-1.0076007531	1.2405707282	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.5	1.1666666667	0	25	105	-0.9961418448	1.2548413728	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.51	1.1589403974	0	25	106	-0.9848102794	1.2692800088	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.52	1.1513157895	0	26	107	-0.9736088237	1.2838831875	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.53	1.1437908497	0	26	108	-0.9625398906	1.2986474765	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.54	1.1363636364	0	26	109	-0.9516055552	1.3135694649	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.55	1.1290322581	0	27	110	-0.9408075726	1.3286457682	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.56	1.1217948718	0	27	111	-0.9301473947	1.3438730326	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.57	1.1146496815	0	27	112	-0.9196261875	1.3592479391	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.58	1.1075949367	0	27	113	-0.909244848	1.3747672068	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.59	1.1006289308	0	28	114	-0.8990040211	1.3904275961	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.6	1.09375	0	28	115	-0.8889041158	1.406225911	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.61	1.0869565217	0	28	116	-0.8789453211	1.4221590012	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.62	1.0802469136	0	29	117	-0.8691276217	1.4382237646	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.63	1.0736196319	0	29	118	-0.8594508126	1.4544171483	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.64	1.0670731707	0	29	119	-0.849914514	1.4707361498	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.65	1.0606060606	0	30	120	-0.8405181844	1.4871778186	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.66	1.0542168675	0	30	121	-0.8312611343	1.5037392564	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.67	1.0479041916	0	30	122	-0.8221425386	1.5204176178	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.68	1.0416666667	0	31	123	-0.8131614483	1.5372101108	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.69	1.0355029586	0	31	124	-0.8043168021	1.5541139969	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.7	1.0294117647	0	31	125	-0.7956074368	1.571126591	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.71	1.0233918129	0	32	126	-0.7870320978	1.5882452615	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.72	1.0174418605	0	32	127	-0.778589448	1.6054674299	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.73	1.0115606936	0	32	128	-0.7702780769	1.6227905707	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.74	1.0057471264	0	33	129	-0.7620965092	1.6402122105	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.75	1	0	33	130	-0.7540432122	1.6577299281	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.76	0.9943181818	0	34	131	-0.7461166033	1.6753413534	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.77	0.988700565	0	34	132	-0.7383150567	1.6930441669	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.78	0.9831460674	0	34	133	-0.7306369094	1.7108360993	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.79	0.9776536313	0	35	134	-0.7230804675	1.7287149303	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.8	0.9722222222	0	35	135	-0.7156440115	1.7466784882	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.81	0.9668508287	0	35	136	-0.7083258008	1.7647246487	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.82	0.9615384615	0	36	137	-0.701124079	1.7828513347	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.83	0.956284153	0	36	138	-0.6940370776	1.8010565147	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.84	0.9510869565	0	36	139	-0.6870630201	1.8193382025	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.85	0.9459459459	0	37	140	-0.6802001257	1.8376944561	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.86	0.9408602151	0	37	141	-0.6734466122	1.8561233768	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.87	0.935828877	0	37	142	-0.6668006994	1.8746231086	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.88	0.9308510638	0	38	143	-0.6602606115	1.8931918369	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.89	0.9259259259	0	38	144	-0.6538245797	1.9118277881	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.9	0.9210526316	0	39	145	-0.6474908443	1.9305292282	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.91	0.9162303665	0	39	146	-0.6412576571	1.9492944626	ring	0	3	triang	3	1	0	-999
