for N=3 oscillators in a 1D ring topology																
coupling strength K  [Hz]	filter_cutoff f_c  [Hz]	delay [s]	Omega [Hz]	m-twist-state	Tsim ~= - 25 / Re(lambda)	paramSet id	Re(\lambda)	Zeitproxy 1. simulation [sek]	topology	diff. const. c	# oscis	coupling function	Nx 	Ny	mx	my
K	Fc	delay	Fomeg	m	Tsim	id	ReLambda	SimSeconds	topology	c	N	couplingfct	Nx	Ny	mx	my
0.25	1	0.85	1.2162162162	1	49	474	-0.5100079993	2.4509419495	chain	0	3	triang	3	1	1	-999
0.25	1	0.86	1.2096774194	1	50	475	-0.5010796091	2.4946135852	chain	0	3	triang	3	1	1	-999
0.25	1	0.87	1.2032085562	1	51	476	-0.4923689826	2.5387464365	chain	0	3	triang	3	1	1	-999
0.25	1	0.88	1.1968085106	1	52	477	-0.4838693334	2.5833420592	chain	0	3	triang	3	1	1	-999
0.25	1	0.89	1.1904761905	1	53	478	-0.475574127	2.6284020282	chain	0	3	triang	3	1	1	-999
0.25	1	0.9	1.1842105263	1	53	479	-0.4674770711	2.6739279365	chain	0	3	triang	3	1	1	-999
0.25	1	0.91	1.1780104712	1	54	480	-0.4595721048	2.7199213944	chain	0	3	triang	3	1	1	-999
0.25	1	0.92	1.171875	1	55	481	-0.4518533895	2.7663840288	chain	0	3	triang	3	1	1	-999
0.25	1	0.93	1.1658031088	1	56	482	-0.4443152996	2.8133174824	chain	0	3	triang	3	1	1	-999
0.25	1	0.94	1.1597938144	1	57	483	-0.4369524136	2.860723413	chain	0	3	triang	3	1	1	-999
0.25	1	0.95	1.1538461539	1	58	484	-0.4297595059	2.9086034932	chain	0	3	triang	3	1	1	-999
0.25	1	0.96	1.1479591837	1	59	485	-0.4227315384	2.9569594093	chain	0	3	triang	3	1	1	-999
0.25	1	0.97	1.1421319797	1	60	486	-0.4158636532	3.0057928611	chain	0	3	triang	3	1	1	-999
0.25	1	0.98	1.1363636364	1	61	487	-0.4091511651	3.0551055613	chain	0	3	triang	3	1	1	-999
0.25	1	0.99	1.1306532663	1	62	488	-0.4025895546	3.1048992347	chain	0	3	triang	3	1	1	-999
0.25	1	1	1.125	1	63	489	-0.396174461	3.1551756183	chain	0	3	triang	3	1	1	-999
0.25	1	1.01	1.1194029851	1	64	490	-0.3899016763	3.2059364601	chain	0	3	triang	3	1	1	-999
0.25	1	1.02	1.1138613861	1	65	491	-0.3837671389	3.2571835193	chain	0	3	triang	3	1	1	-999
0.25	1	1.03	1.1083743842	1	66	492	-0.3777669275	3.3089185655	chain	0	3	triang	3	1	1	-999
0.25	1	1.04	1.1029411765	1	67	493	-0.3718972561	3.3611433787	chain	0	3	triang	3	1	1	-999
0.25	1	1.05	1.0975609756	1	68	494	-0.366154468	3.4138597485	chain	0	3	triang	3	1	1	-999
0.25	1	1.06	1.0922330097	1	69	495	-0.3605350309	3.4670694738	chain	0	3	triang	3	1	1	-999
0.25	1	1.07	1.0869565217	1	70	496	-0.3550355323	3.5207743628	chain	0	3	triang	3	1	1	-999
0.25	1	1.08	1.0817307692	1	71	497	-0.3496526742	3.5749762325	chain	0	3	triang	3	1	1	-999
0.25	1	1.09	1.0765550239	1	73	498	-0.3443832693	3.6296769081	chain	0	3	triang	3	1	1	-999
0.25	1	1.1	1.0714285714	1	74	499	-0.339224236	3.6848782233	chain	0	3	triang	3	1	1	-999
0.25	1	1.11	1.0663507109	1	75	500	-0.3341725949	3.7405820194	chain	0	3	triang	3	1	1	-999
0.25	1	1.12	1.0613207547	1	76	501	-0.3292254647	3.7967901456	chain	0	3	triang	3	1	1	-999
0.25	1	1.13	1.0563380282	1	77	502	-0.3243800581	3.8535044583	chain	0	3	triang	3	1	1	-999
0.25	1	1.14	1.0514018692	1	78	503	-0.3196336786	3.910726821	chain	0	3	triang	3	1	1	-999
0.25	1	1.15	1.0465116279	1	79	504	-0.3149837171	3.9684591045	chain	0	3	triang	3	1	1	-999
0.25	1	1.16	1.0416666667	1	81	505	-0.3104276482	4.0267031857	chain	0	3	triang	3	1	1	-999
0.25	1	1.17	1.0368663595	1	82	506	-0.3059630274	4.0854609485	chain	0	3	triang	3	1	1	-999
0.25	1	1.18	1.0321100917	1	83	507	-0.3015874878	4.1447342828	chain	0	3	triang	3	1	1	-999
0.25	1	1.19	1.0273972603	1	84	508	-0.2972987376	4.2045250847	chain	0	3	triang	3	1	1	-999
0.25	1	1.2	1.0227272727	1	85	509	-0.293094557	4.2648352563	chain	0	3	triang	3	1	1	-999
0.25	1	1.21	1.0180995475	1	87	510	-0.2889727955	4.3256667051	chain	0	3	triang	3	1	1	-999
0.25	1	1.22	1.0135135135	1	88	511	-0.2849313696	4.3870213445	chain	0	3	triang	3	1	1	-999
0.25	1	1.23	1.0089686099	1	89	512	-0.2809682602	4.4489010933	chain	0	3	triang	3	1	1	-999
0.25	1	1.24	1.0044642857	1	90	513	-0.2770815104	4.5113078753	chain	0	3	triang	3	1	1	-999
0.25	1	1.25	1	1	91	514	-0.2732692231	4.5742436197	chain	0	3	triang	3	1	1	-999
0.25	1	1.26	0.9955752212	1	93	515	-0.2695295587	4.6377102604	chain	0	3	triang	3	1	1	-999
0.25	1	1.27	0.9911894273	1	94	516	-0.2658607337	4.7017097362	chain	0	3	triang	3	1	1	-999
0.25	1	1.28	0.9868421053	1	95	517	-0.2622610178	4.7662439908	chain	0	3	triang	3	1	1	-999
0.25	1	1.29	0.9825327511	1	97	518	-0.2587287327	4.8313149722	chain	0	3	triang	3	1	1	-999
0.25	1	1.3	0.9782608696	1	98	519	-0.25526225	4.8969246329	chain	0	3	triang	3	1	1	-999
0.25	1	1.31	0.974025974	1	99	520	-0.2518599896	4.96307493	chain	0	3	triang	3	1	1	-999
0.25	1	1.32	0.9698275862	1	101	521	-0.2485204176	5.0297678243	chain	0	3	triang	3	1	1	-999
0.25	1	1.33	0.9656652361	1	102	522	-0.2452420453	5.0970052812	chain	0	3	triang	3	1	1	-999
0.25	1	1.34	0.9615384615	1	103	523	-0.2420234272	5.1647892699	chain	0	3	triang	3	1	1	-999
0.25	1	1.35	0.9574468085	1	105	524	-0.2388631598	5.2331217635	chain	0	3	triang	3	1	1	-999
0.25	1	1.36	0.9533898305	1	106	525	-0.2357598798	5.3020047389	chain	0	3	triang	3	1	1	-999
0.25	1	1.37	0.9493670886	1	107	526	-0.2327122632	5.3714401768	chain	0	3	triang	3	1	1	-999
0.25	1	1.38	0.9453781513	1	109	527	-0.2297190235	5.4414300615	chain	0	3	triang	3	1	1	-999
0.25	1	1.39	0.9414225941	1	110	528	-0.2267789108	5.5119763808	chain	0	3	triang	3	1	1	-999
0.25	1	1.4	0.9375	1	112	529	-0.2238907105	5.5830811259	chain	0	3	triang	3	1	1	-999
0.25	1	1.41	0.9336099585	1	113	530	-0.2210532419	5.6547462916	chain	0	3	triang	3	1	1	-999
0.25	1	1.42	0.9297520661	1	115	531	-0.2182653574	5.7269738757	chain	0	3	triang	3	1	1	-999
0.25	1	1.43	0.9259259259	1	116	532	-0.2155259412	5.7997658796	chain	0	3	triang	3	1	1	-999
0.25	1	1.44	0.9221311475	1	117	533	-0.2128339083	5.8731243074	chain	0	3	triang	3	1	1	-999
0.25	1	1.45	0.9183673469	1	119	534	-0.2101882034	5.9470511667	chain	0	3	triang	3	1	1	-999
0.25	1	1.46	0.9146341463	1	120	535	-0.2075878002	6.0215484678	chain	0	3	triang	3	1	1	-999
0.25	1	1.47	0.9109311741	1	122	536	-0.2050317002	6.0966182242	chain	0	3	triang	3	1	1	-999
0.25	1	1.48	0.9072580645	1	123	537	-0.202518932	6.1722624522	chain	0	3	triang	3	1	1	-999
0.25	1	1.49	0.9036144578	1	125	538	-0.2000485503	6.2484831707	chain	0	3	triang	3	1	1	-999
